station_id	latitude	longtitude	stationname
1	40960	41.799756	-87.724493	Pulaski-Orange
2	41170	41.79542	-87.631157	Garfield-Dan Ryan
3	40820	41.983507	-87.859388	Rosemont
4	41250	42.063987	-87.685617	Central-Evanston
5	40610	41.887159	-87.783661	Ridgeland
6	40430	41.875539	-87.640984	Clinton-Forest Park
7	40100	42.008362	-87.665909	Morse
8	40590	41.909744	-87.677437	Damen/Milwaukee
9	40870	41.966046	-87.701644	Francisco
10	41350	41.886988	-87.793783	Oak Park-Lake
11	40900	42.019063	-87.672892	Howard
12	40830	41.857908	-87.669147	18th
13	40070	41.878183	-87.629296	Jackson/Dearborn
14	41690	41.853115	-87.626402	Cermak-McCormick Place
15	40760	41.993664	-87.659202	Granville
16	40920	41.873797	-87.725663	Pulaski-Forest Park
17	41410	41.896075	-87.655214	Chicago/Milwaukee
18	41180	41.965996	-87.708821	Kedzie-Brown
19	40450	41.722377	-87.624342	95th/Dan Ryan
20	41030	41.871551	-87.66953	Polk
21	40730	41.882695	-87.63378	Washington/Wells
22	40740	41.854225	-87.685129	Western-Cermak
24	40670	41.916157	-87.687364	Western/Milwaukee
25	40930	41.78661	-87.737875	Midway Airport
26	41380	41.983504	-87.65884	Bryn Mawr
27	40060	41.938132	-87.712359	Belmont-O'Hare
28	40250	41.874341	-87.70604	Kedzie-Homan-Forest Park
29	40330	41.891665	-87.628021	Grand/State
30	40570	41.921939	-87.69689	California/Milwaukee
31	40880	41.990259	-87.659076	Thorndale
34	41230	41.810318	-87.63094	47th-Dan Ryan
35	40990	41.768367	-87.625724	69th
36	40550	41.952925	-87.729229	Irving Park-O'Hare
37	40270	42.033456	-87.679538	Main
38	41060	41.839234	-87.665317	Ashland-Orange
39	40010	41.870851	-87.776812	Austin-Forest Park
40	40160	41.8768	-87.631739	LaSalle/Van Buren
41	40850	41.876862	-87.628196	Library
42	40340	41.977984	-87.658668	Berwyn
43	40910	41.780536	-87.630952	63rd-Dan Ryan
44	40980	41.87349	-87.806961	Harlem-Forest Park
